destination	source	transformation
Bowtie2/ERR1713337/ERR1713337.bowtie2.log	rr-analysis/hendriksen_resistancemap_2016/results/bowtie2_batch02_10countries_plus_USA_alt11/ERR1713337/ERR1713337.bowtie2.log	Copied without modification
Bowtie2/ERR1713339/ERR1713339.bowtie2.log	rr-analysis/hendriksen_resistancemap_2016/results/bowtie2_batch02_10countries_plus_USA_alt11/ERR1713339/ERR1713339.bowtie2.log	Copied without modification
Bowtie2/ERR1713343/ERR1713343.bowtie2.log	rr-analysis/hendriksen_resistancemap_2016/results/bowtie2_batch02_10countries_plus_USA_alt11/ERR1713343/ERR1713343.bowtie2.log	Copied without modification
Bowtie2/ERR1713349/ERR1713349.bowtie2.log	rr-analysis/hendriksen_resistancemap_2016/results/bowtie2_batch02_10countries_plus_USA_alt11/ERR1713349/ERR1713349.bowtie2.log	Copied without modification
Bowtie2/ERR1713352/ERR1713352.bowtie2.log	rr-analysis/hendriksen_resistancemap_2016/results/bowtie2_batch02_10countries_plus_USA_alt11/ERR1713352/ERR1713352.bowtie2.log	Copied without modification
Bowtie2/ERR1713362/ERR1713362.bowtie2.log	rr-analysis/hendriksen_resistancemap_2016/results/bowtie2_batch02_10countries_plus_USA_alt11/ERR1713362/ERR1713362.bowtie2.log	Copied without modification
Bowtie2/ERR1713379/ERR1713379.bowtie2.log	rr-analysis/hendriksen_resistancemap_2016/results/bowtie2_batch02_10countries_plus_USA_alt11/ERR1713379/ERR1713379.bowtie2.log	Copied without modification
Bowtie2/ERR1713403/ERR1713403.bowtie2.log	rr-analysis/hendriksen_resistancemap_2016/results/bowtie2_batch02_10countries_plus_USA_alt11/ERR1713403/ERR1713403.bowtie2.log	Copied without modification
CARD_RGI_BWT/ERR1713332/ERR1713332_rgi_bwt.gene_mapping_data.txt	rr-analysis/hendriksen_resistancemap_2016/rgi_bwt_batch02_10countries_plus_USA_alt11/ERR1713332_rgi_bwt.gene_mapping_data.txt	Copied with LF line endings; trailing ASCII spaces and terminal blank lines removed; tabs preserved
CARD_RGI_BWT/ERR1713332/ERR1713332_rgi_bwt.overall_mapping_stats.txt	rr-analysis/hendriksen_resistancemap_2016/rgi_bwt_batch02_10countries_plus_USA_alt11/ERR1713332_rgi_bwt.overall_mapping_stats.txt	Copied with LF line endings; trailing ASCII spaces and terminal blank lines removed; tabs preserved
CARD_RGI_BWT/ERR1713334/ERR1713334_rgi_bwt.gene_mapping_data.txt	rr-analysis/hendriksen_resistancemap_2016/rgi_bwt_batch02_10countries_plus_USA_alt11/ERR1713334_rgi_bwt.gene_mapping_data.txt	Copied with LF line endings; trailing ASCII spaces and terminal blank lines removed; tabs preserved
CARD_RGI_BWT/ERR1713334/ERR1713334_rgi_bwt.overall_mapping_stats.txt	rr-analysis/hendriksen_resistancemap_2016/rgi_bwt_batch02_10countries_plus_USA_alt11/ERR1713334_rgi_bwt.overall_mapping_stats.txt	Copied with LF line endings; trailing ASCII spaces and terminal blank lines removed; tabs preserved
CARD_RGI_BWT/ERR1713335/ERR1713335_rgi_bwt.gene_mapping_data.txt	rr-analysis/hendriksen_resistancemap_2016/rgi_bwt_batch02_10countries_plus_USA_alt11/ERR1713335_rgi_bwt.gene_mapping_data.txt	Copied with LF line endings; trailing ASCII spaces and terminal blank lines removed; tabs preserved
CARD_RGI_BWT/ERR1713335/ERR1713335_rgi_bwt.overall_mapping_stats.txt	rr-analysis/hendriksen_resistancemap_2016/rgi_bwt_batch02_10countries_plus_USA_alt11/ERR1713335_rgi_bwt.overall_mapping_stats.txt	Copied with LF line endings; trailing ASCII spaces and terminal blank lines removed; tabs preserved
CARD_RGI_BWT/ERR1713337/ERR1713337_rgi_bwt.gene_mapping_data.txt	rr-analysis/hendriksen_resistancemap_2016/rgi_bwt_batch02_10countries_plus_USA_alt11/ERR1713337_rgi_bwt.gene_mapping_data.txt	Copied with LF line endings; trailing ASCII spaces and terminal blank lines removed; tabs preserved
CARD_RGI_BWT/ERR1713337/ERR1713337_rgi_bwt.overall_mapping_stats.txt	rr-analysis/hendriksen_resistancemap_2016/rgi_bwt_batch02_10countries_plus_USA_alt11/ERR1713337_rgi_bwt.overall_mapping_stats.txt	Copied with LF line endings; trailing ASCII spaces and terminal blank lines removed; tabs preserved
CARD_RGI_BWT/ERR1713339/ERR1713339_rgi_bwt.gene_mapping_data.txt	rr-analysis/hendriksen_resistancemap_2016/rgi_bwt_batch02_10countries_plus_USA_alt11/ERR1713339_rgi_bwt.gene_mapping_data.txt	Copied with LF line endings; trailing ASCII spaces and terminal blank lines removed; tabs preserved
CARD_RGI_BWT/ERR1713339/ERR1713339_rgi_bwt.overall_mapping_stats.txt	rr-analysis/hendriksen_resistancemap_2016/rgi_bwt_batch02_10countries_plus_USA_alt11/ERR1713339_rgi_bwt.overall_mapping_stats.txt	Copied with LF line endings; trailing ASCII spaces and terminal blank lines removed; tabs preserved
CARD_RGI_BWT/ERR1713343/ERR1713343_rgi_bwt.gene_mapping_data.txt	rr-analysis/hendriksen_resistancemap_2016/rgi_bwt_batch02_10countries_plus_USA_alt11/ERR1713343_rgi_bwt.gene_mapping_data.txt	Copied with LF line endings; trailing ASCII spaces and terminal blank lines removed; tabs preserved
CARD_RGI_BWT/ERR1713343/ERR1713343_rgi_bwt.overall_mapping_stats.txt	rr-analysis/hendriksen_resistancemap_2016/rgi_bwt_batch02_10countries_plus_USA_alt11/ERR1713343_rgi_bwt.overall_mapping_stats.txt	Copied with LF line endings; trailing ASCII spaces and terminal blank lines removed; tabs preserved
CARD_RGI_BWT/ERR1713349/ERR1713349_rgi_bwt.gene_mapping_data.txt	rr-analysis/hendriksen_resistancemap_2016/rgi_bwt_batch02_10countries_plus_USA_alt11/ERR1713349_rgi_bwt.gene_mapping_data.txt	Copied with LF line endings; trailing ASCII spaces and terminal blank lines removed; tabs preserved
CARD_RGI_BWT/ERR1713349/ERR1713349_rgi_bwt.overall_mapping_stats.txt	rr-analysis/hendriksen_resistancemap_2016/rgi_bwt_batch02_10countries_plus_USA_alt11/ERR1713349_rgi_bwt.overall_mapping_stats.txt	Copied with LF line endings; trailing ASCII spaces and terminal blank lines removed; tabs preserved
CARD_RGI_BWT/ERR1713352/ERR1713352_rgi_bwt.gene_mapping_data.txt	rr-analysis/hendriksen_resistancemap_2016/rgi_bwt_batch02_10countries_plus_USA_alt11/ERR1713352_rgi_bwt.gene_mapping_data.txt	Copied with LF line endings; trailing ASCII spaces and terminal blank lines removed; tabs preserved
CARD_RGI_BWT/ERR1713352/ERR1713352_rgi_bwt.overall_mapping_stats.txt	rr-analysis/hendriksen_resistancemap_2016/rgi_bwt_batch02_10countries_plus_USA_alt11/ERR1713352_rgi_bwt.overall_mapping_stats.txt	Copied with LF line endings; trailing ASCII spaces and terminal blank lines removed; tabs preserved
CARD_RGI_BWT/ERR1713362/ERR1713362_rgi_bwt.gene_mapping_data.txt	rr-analysis/hendriksen_resistancemap_2016/rgi_bwt_batch02_10countries_plus_USA_alt11/ERR1713362_rgi_bwt.gene_mapping_data.txt	Copied with LF line endings; trailing ASCII spaces and terminal blank lines removed; tabs preserved
CARD_RGI_BWT/ERR1713362/ERR1713362_rgi_bwt.overall_mapping_stats.txt	rr-analysis/hendriksen_resistancemap_2016/rgi_bwt_batch02_10countries_plus_USA_alt11/ERR1713362_rgi_bwt.overall_mapping_stats.txt	Copied with LF line endings; trailing ASCII spaces and terminal blank lines removed; tabs preserved
CARD_RGI_BWT/ERR1713379/ERR1713379_rgi_bwt.gene_mapping_data.txt	rr-analysis/hendriksen_resistancemap_2016/rgi_bwt_batch02_10countries_plus_USA_alt11/ERR1713379_rgi_bwt.gene_mapping_data.txt	Copied with LF line endings; trailing ASCII spaces and terminal blank lines removed; tabs preserved
CARD_RGI_BWT/ERR1713379/ERR1713379_rgi_bwt.overall_mapping_stats.txt	rr-analysis/hendriksen_resistancemap_2016/rgi_bwt_batch02_10countries_plus_USA_alt11/ERR1713379_rgi_bwt.overall_mapping_stats.txt	Copied with LF line endings; trailing ASCII spaces and terminal blank lines removed; tabs preserved
CARD_RGI_BWT/ERR1713403/ERR1713403_rgi_bwt.gene_mapping_data.txt	rr-analysis/hendriksen_resistancemap_2016/rgi_bwt_batch02_10countries_plus_USA_alt11/ERR1713403_rgi_bwt.gene_mapping_data.txt	Copied with LF line endings; trailing ASCII spaces and terminal blank lines removed; tabs preserved
CARD_RGI_BWT/ERR1713403/ERR1713403_rgi_bwt.overall_mapping_stats.txt	rr-analysis/hendriksen_resistancemap_2016/rgi_bwt_batch02_10countries_plus_USA_alt11/ERR1713403_rgi_bwt.overall_mapping_stats.txt	Copied with LF line endings; trailing ASCII spaces and terminal blank lines removed; tabs preserved
CARD_RGI_Main/ERR1713332/ERR1713332_rgi_main.txt	rr-analysis/hendriksen_resistancemap_2016/stage3_5_rgi_main_contigs_batch02_10countries_plus_USA_alt11/results/ERR1713332/ERR1713332_rgi_main_contigs.txt	Tabular RGI Main output copied after removing Predicted_DNA, Predicted_Protein, and CARD_Protein_Sequence columns
CARD_RGI_Main/ERR1713334/ERR1713334_rgi_main.txt	rr-analysis/hendriksen_resistancemap_2016/stage3_5_rgi_main_contigs_batch02_10countries_plus_USA_alt11/results/ERR1713334/ERR1713334_rgi_main_contigs.txt	Tabular RGI Main output copied after removing Predicted_DNA, Predicted_Protein, and CARD_Protein_Sequence columns
CARD_RGI_Main/ERR1713335/ERR1713335_rgi_main.txt	rr-analysis/hendriksen_resistancemap_2016/stage3_5_rgi_main_contigs_batch02_10countries_plus_USA_alt11/results/ERR1713335/ERR1713335_rgi_main_contigs.txt	Tabular RGI Main output copied after removing Predicted_DNA, Predicted_Protein, and CARD_Protein_Sequence columns
CARD_RGI_Main/ERR1713337/ERR1713337_rgi_main.txt	rr-analysis/hendriksen_resistancemap_2016/stage3_5_rgi_main_contigs_batch02_10countries_plus_USA_alt11/results/ERR1713337/ERR1713337_rgi_main_contigs.txt	Tabular RGI Main output copied after removing Predicted_DNA, Predicted_Protein, and CARD_Protein_Sequence columns
CARD_RGI_Main/ERR1713339/ERR1713339_rgi_main.txt	rr-analysis/hendriksen_resistancemap_2016/stage3_5_rgi_main_contigs_batch02_10countries_plus_USA_alt11/results/ERR1713339/ERR1713339_rgi_main_contigs.txt	Tabular RGI Main output copied after removing Predicted_DNA, Predicted_Protein, and CARD_Protein_Sequence columns
CARD_RGI_Main/ERR1713343/ERR1713343_rgi_main.txt	rr-analysis/hendriksen_resistancemap_2016/stage3_5_rgi_main_contigs_batch02_10countries_plus_USA_alt11/results/ERR1713343/ERR1713343_rgi_main_contigs.txt	Tabular RGI Main output copied after removing Predicted_DNA, Predicted_Protein, and CARD_Protein_Sequence columns
CARD_RGI_Main/ERR1713349/ERR1713349_rgi_main.txt	rr-analysis/hendriksen_resistancemap_2016/stage3_5_rgi_main_contigs_batch02_10countries_plus_USA_alt11/results/ERR1713349/ERR1713349_rgi_main_contigs.txt	Tabular RGI Main output copied after removing Predicted_DNA, Predicted_Protein, and CARD_Protein_Sequence columns
CARD_RGI_Main/ERR1713352/ERR1713352_rgi_main.txt	rr-analysis/hendriksen_resistancemap_2016/stage3_5_rgi_main_contigs_batch02_10countries_plus_USA_alt11/results/ERR1713352/ERR1713352_rgi_main_contigs.txt	Tabular RGI Main output copied after removing Predicted_DNA, Predicted_Protein, and CARD_Protein_Sequence columns
CARD_RGI_Main/ERR1713362/ERR1713362_rgi_main.txt	rr-analysis/hendriksen_resistancemap_2016/stage3_5_rgi_main_contigs_batch02_10countries_plus_USA_alt11/results/ERR1713362/ERR1713362_rgi_main_contigs.txt	Tabular RGI Main output copied after removing Predicted_DNA, Predicted_Protein, and CARD_Protein_Sequence columns
CARD_RGI_Main/ERR1713379/ERR1713379_rgi_main.txt	rr-analysis/hendriksen_resistancemap_2016/stage3_5_rgi_main_contigs_batch02_10countries_plus_USA_alt11/results/ERR1713379/ERR1713379_rgi_main_contigs.txt	Tabular RGI Main output copied after removing Predicted_DNA, Predicted_Protein, and CARD_Protein_Sequence columns
CARD_RGI_Main/ERR1713403/ERR1713403_rgi_main.txt	rr-analysis/hendriksen_resistancemap_2016/stage3_5_rgi_main_contigs_batch02_10countries_plus_USA_alt11/results/ERR1713403/ERR1713403_rgi_main_contigs.txt	Tabular RGI Main output copied after removing Predicted_DNA, Predicted_Protein, and CARD_Protein_Sequence columns
DIAMOND_CARD/ERR1713332/ERR1713332_diamond_card_hit_summary.tsv	rr-analysis/hendriksen_resistancemap_2016/stage3_4c_diamond_card_batch02_10countries_plus_USA_alt11/results_cleanfasta/ERR1713332/ERR1713332_R1_diamond_card.tsv;rr-analysis/hendriksen_resistancemap_2016/stage3_4c_diamond_card_batch02_10countries_plus_USA_alt11/results_cleanfasta/ERR1713332/ERR1713332_R2_diamond_card.tsv	Compact aggregate summaries generated from six-column R1 and R2 DIAMOND/CARD BLASTX tables; raw per-read tables excluded
DIAMOND_CARD/ERR1713332/ERR1713332_diamond_card_sample_summary.tsv	rr-analysis/hendriksen_resistancemap_2016/stage3_4c_diamond_card_batch02_10countries_plus_USA_alt11/results_cleanfasta/ERR1713332/ERR1713332_R1_diamond_card.tsv;rr-analysis/hendriksen_resistancemap_2016/stage3_4c_diamond_card_batch02_10countries_plus_USA_alt11/results_cleanfasta/ERR1713332/ERR1713332_R2_diamond_card.tsv	Compact aggregate summaries generated from six-column R1 and R2 DIAMOND/CARD BLASTX tables; raw per-read tables excluded
DIAMOND_CARD/ERR1713334/ERR1713334_diamond_card_hit_summary.tsv	rr-analysis/hendriksen_resistancemap_2016/stage3_4c_diamond_card_batch02_10countries_plus_USA_alt11/results_cleanfasta/ERR1713334/ERR1713334_R1_diamond_card.tsv;rr-analysis/hendriksen_resistancemap_2016/stage3_4c_diamond_card_batch02_10countries_plus_USA_alt11/results_cleanfasta/ERR1713334/ERR1713334_R2_diamond_card.tsv	Compact aggregate summaries generated from six-column R1 and R2 DIAMOND/CARD BLASTX tables; raw per-read tables excluded
DIAMOND_CARD/ERR1713334/ERR1713334_diamond_card_sample_summary.tsv	rr-analysis/hendriksen_resistancemap_2016/stage3_4c_diamond_card_batch02_10countries_plus_USA_alt11/results_cleanfasta/ERR1713334/ERR1713334_R1_diamond_card.tsv;rr-analysis/hendriksen_resistancemap_2016/stage3_4c_diamond_card_batch02_10countries_plus_USA_alt11/results_cleanfasta/ERR1713334/ERR1713334_R2_diamond_card.tsv	Compact aggregate summaries generated from six-column R1 and R2 DIAMOND/CARD BLASTX tables; raw per-read tables excluded
DIAMOND_CARD/ERR1713335/ERR1713335_diamond_card_hit_summary.tsv	rr-analysis/hendriksen_resistancemap_2016/stage3_4c_diamond_card_batch02_10countries_plus_USA_alt11/results_cleanfasta/ERR1713335/ERR1713335_R1_diamond_card.tsv;rr-analysis/hendriksen_resistancemap_2016/stage3_4c_diamond_card_batch02_10countries_plus_USA_alt11/results_cleanfasta/ERR1713335/ERR1713335_R2_diamond_card.tsv	Compact aggregate summaries generated from six-column R1 and R2 DIAMOND/CARD BLASTX tables; raw per-read tables excluded
DIAMOND_CARD/ERR1713335/ERR1713335_diamond_card_sample_summary.tsv	rr-analysis/hendriksen_resistancemap_2016/stage3_4c_diamond_card_batch02_10countries_plus_USA_alt11/results_cleanfasta/ERR1713335/ERR1713335_R1_diamond_card.tsv;rr-analysis/hendriksen_resistancemap_2016/stage3_4c_diamond_card_batch02_10countries_plus_USA_alt11/results_cleanfasta/ERR1713335/ERR1713335_R2_diamond_card.tsv	Compact aggregate summaries generated from six-column R1 and R2 DIAMOND/CARD BLASTX tables; raw per-read tables excluded
DIAMOND_CARD/ERR1713337/ERR1713337_diamond_card_hit_summary.tsv	rr-analysis/hendriksen_resistancemap_2016/stage3_4c_diamond_card_batch02_10countries_plus_USA_alt11/results_cleanfasta/ERR1713337/ERR1713337_R1_diamond_card.tsv;rr-analysis/hendriksen_resistancemap_2016/stage3_4c_diamond_card_batch02_10countries_plus_USA_alt11/results_cleanfasta/ERR1713337/ERR1713337_R2_diamond_card.tsv	Compact aggregate summaries generated from six-column R1 and R2 DIAMOND/CARD BLASTX tables; raw per-read tables excluded
DIAMOND_CARD/ERR1713337/ERR1713337_diamond_card_sample_summary.tsv	rr-analysis/hendriksen_resistancemap_2016/stage3_4c_diamond_card_batch02_10countries_plus_USA_alt11/results_cleanfasta/ERR1713337/ERR1713337_R1_diamond_card.tsv;rr-analysis/hendriksen_resistancemap_2016/stage3_4c_diamond_card_batch02_10countries_plus_USA_alt11/results_cleanfasta/ERR1713337/ERR1713337_R2_diamond_card.tsv	Compact aggregate summaries generated from six-column R1 and R2 DIAMOND/CARD BLASTX tables; raw per-read tables excluded
DIAMOND_CARD/ERR1713339/ERR1713339_diamond_card_hit_summary.tsv	rr-analysis/hendriksen_resistancemap_2016/stage3_4c_diamond_card_batch02_10countries_plus_USA_alt11/results_cleanfasta/ERR1713339/ERR1713339_R1_diamond_card.tsv;rr-analysis/hendriksen_resistancemap_2016/stage3_4c_diamond_card_batch02_10countries_plus_USA_alt11/results_cleanfasta/ERR1713339/ERR1713339_R2_diamond_card.tsv	Compact aggregate summaries generated from six-column R1 and R2 DIAMOND/CARD BLASTX tables; raw per-read tables excluded
DIAMOND_CARD/ERR1713339/ERR1713339_diamond_card_sample_summary.tsv	rr-analysis/hendriksen_resistancemap_2016/stage3_4c_diamond_card_batch02_10countries_plus_USA_alt11/results_cleanfasta/ERR1713339/ERR1713339_R1_diamond_card.tsv;rr-analysis/hendriksen_resistancemap_2016/stage3_4c_diamond_card_batch02_10countries_plus_USA_alt11/results_cleanfasta/ERR1713339/ERR1713339_R2_diamond_card.tsv	Compact aggregate summaries generated from six-column R1 and R2 DIAMOND/CARD BLASTX tables; raw per-read tables excluded
DIAMOND_CARD/ERR1713343/ERR1713343_diamond_card_hit_summary.tsv	rr-analysis/hendriksen_resistancemap_2016/stage3_4c_diamond_card_batch02_10countries_plus_USA_alt11/results_cleanfasta/ERR1713343/ERR1713343_R1_diamond_card.tsv;rr-analysis/hendriksen_resistancemap_2016/stage3_4c_diamond_card_batch02_10countries_plus_USA_alt11/results_cleanfasta/ERR1713343/ERR1713343_R2_diamond_card.tsv	Compact aggregate summaries generated from six-column R1 and R2 DIAMOND/CARD BLASTX tables; raw per-read tables excluded
DIAMOND_CARD/ERR1713343/ERR1713343_diamond_card_sample_summary.tsv	rr-analysis/hendriksen_resistancemap_2016/stage3_4c_diamond_card_batch02_10countries_plus_USA_alt11/results_cleanfasta/ERR1713343/ERR1713343_R1_diamond_card.tsv;rr-analysis/hendriksen_resistancemap_2016/stage3_4c_diamond_card_batch02_10countries_plus_USA_alt11/results_cleanfasta/ERR1713343/ERR1713343_R2_diamond_card.tsv	Compact aggregate summaries generated from six-column R1 and R2 DIAMOND/CARD BLASTX tables; raw per-read tables excluded
DIAMOND_CARD/ERR1713349/ERR1713349_diamond_card_hit_summary.tsv	rr-analysis/hendriksen_resistancemap_2016/stage3_4c_diamond_card_batch02_10countries_plus_USA_alt11/results_cleanfasta/ERR1713349/ERR1713349_R1_diamond_card.tsv;rr-analysis/hendriksen_resistancemap_2016/stage3_4c_diamond_card_batch02_10countries_plus_USA_alt11/results_cleanfasta/ERR1713349/ERR1713349_R2_diamond_card.tsv	Compact aggregate summaries generated from six-column R1 and R2 DIAMOND/CARD BLASTX tables; raw per-read tables excluded
DIAMOND_CARD/ERR1713349/ERR1713349_diamond_card_sample_summary.tsv	rr-analysis/hendriksen_resistancemap_2016/stage3_4c_diamond_card_batch02_10countries_plus_USA_alt11/results_cleanfasta/ERR1713349/ERR1713349_R1_diamond_card.tsv;rr-analysis/hendriksen_resistancemap_2016/stage3_4c_diamond_card_batch02_10countries_plus_USA_alt11/results_cleanfasta/ERR1713349/ERR1713349_R2_diamond_card.tsv	Compact aggregate summaries generated from six-column R1 and R2 DIAMOND/CARD BLASTX tables; raw per-read tables excluded
DIAMOND_CARD/ERR1713352/ERR1713352_diamond_card_hit_summary.tsv	rr-analysis/hendriksen_resistancemap_2016/stage3_4c_diamond_card_batch02_10countries_plus_USA_alt11/results_cleanfasta/ERR1713352/ERR1713352_R1_diamond_card.tsv;rr-analysis/hendriksen_resistancemap_2016/stage3_4c_diamond_card_batch02_10countries_plus_USA_alt11/results_cleanfasta/ERR1713352/ERR1713352_R2_diamond_card.tsv	Compact aggregate summaries generated from six-column R1 and R2 DIAMOND/CARD BLASTX tables; raw per-read tables excluded
DIAMOND_CARD/ERR1713352/ERR1713352_diamond_card_sample_summary.tsv	rr-analysis/hendriksen_resistancemap_2016/stage3_4c_diamond_card_batch02_10countries_plus_USA_alt11/results_cleanfasta/ERR1713352/ERR1713352_R1_diamond_card.tsv;rr-analysis/hendriksen_resistancemap_2016/stage3_4c_diamond_card_batch02_10countries_plus_USA_alt11/results_cleanfasta/ERR1713352/ERR1713352_R2_diamond_card.tsv	Compact aggregate summaries generated from six-column R1 and R2 DIAMOND/CARD BLASTX tables; raw per-read tables excluded
DIAMOND_CARD/ERR1713362/ERR1713362_diamond_card_hit_summary.tsv	rr-analysis/hendriksen_resistancemap_2016/stage3_4c_diamond_card_batch02_10countries_plus_USA_alt11/results_cleanfasta/ERR1713362/ERR1713362_R1_diamond_card.tsv;rr-analysis/hendriksen_resistancemap_2016/stage3_4c_diamond_card_batch02_10countries_plus_USA_alt11/results_cleanfasta/ERR1713362/ERR1713362_R2_diamond_card.tsv	Compact aggregate summaries generated from six-column R1 and R2 DIAMOND/CARD BLASTX tables; raw per-read tables excluded
DIAMOND_CARD/ERR1713362/ERR1713362_diamond_card_sample_summary.tsv	rr-analysis/hendriksen_resistancemap_2016/stage3_4c_diamond_card_batch02_10countries_plus_USA_alt11/results_cleanfasta/ERR1713362/ERR1713362_R1_diamond_card.tsv;rr-analysis/hendriksen_resistancemap_2016/stage3_4c_diamond_card_batch02_10countries_plus_USA_alt11/results_cleanfasta/ERR1713362/ERR1713362_R2_diamond_card.tsv	Compact aggregate summaries generated from six-column R1 and R2 DIAMOND/CARD BLASTX tables; raw per-read tables excluded
DIAMOND_CARD/ERR1713379/ERR1713379_diamond_card_hit_summary.tsv	rr-analysis/hendriksen_resistancemap_2016/stage3_4c_diamond_card_batch02_10countries_plus_USA_alt11/results_cleanfasta/ERR1713379/ERR1713379_R1_diamond_card.tsv;rr-analysis/hendriksen_resistancemap_2016/stage3_4c_diamond_card_batch02_10countries_plus_USA_alt11/results_cleanfasta/ERR1713379/ERR1713379_R2_diamond_card.tsv	Compact aggregate summaries generated from six-column R1 and R2 DIAMOND/CARD BLASTX tables; raw per-read tables excluded
DIAMOND_CARD/ERR1713379/ERR1713379_diamond_card_sample_summary.tsv	rr-analysis/hendriksen_resistancemap_2016/stage3_4c_diamond_card_batch02_10countries_plus_USA_alt11/results_cleanfasta/ERR1713379/ERR1713379_R1_diamond_card.tsv;rr-analysis/hendriksen_resistancemap_2016/stage3_4c_diamond_card_batch02_10countries_plus_USA_alt11/results_cleanfasta/ERR1713379/ERR1713379_R2_diamond_card.tsv	Compact aggregate summaries generated from six-column R1 and R2 DIAMOND/CARD BLASTX tables; raw per-read tables excluded
DIAMOND_CARD/ERR1713403/ERR1713403_diamond_card_hit_summary.tsv	rr-analysis/hendriksen_resistancemap_2016/stage3_4c_diamond_card_batch02_10countries_plus_USA_alt11/results_cleanfasta/ERR1713403/ERR1713403_R1_diamond_card.tsv;rr-analysis/hendriksen_resistancemap_2016/stage3_4c_diamond_card_batch02_10countries_plus_USA_alt11/results_cleanfasta/ERR1713403/ERR1713403_R2_diamond_card.tsv	Compact aggregate summaries generated from six-column R1 and R2 DIAMOND/CARD BLASTX tables; raw per-read tables excluded
DIAMOND_CARD/ERR1713403/ERR1713403_diamond_card_sample_summary.tsv	rr-analysis/hendriksen_resistancemap_2016/stage3_4c_diamond_card_batch02_10countries_plus_USA_alt11/results_cleanfasta/ERR1713403/ERR1713403_R1_diamond_card.tsv;rr-analysis/hendriksen_resistancemap_2016/stage3_4c_diamond_card_batch02_10countries_plus_USA_alt11/results_cleanfasta/ERR1713403/ERR1713403_R2_diamond_card.tsv	Compact aggregate summaries generated from six-column R1 and R2 DIAMOND/CARD BLASTX tables; raw per-read tables excluded
